study_hours,attendance_pct,prev_score,sleep_hours,assignments_done,final_score
4.37,84.91,51.11,7.11,6,78.21
9.56,76.8,72.51,6.88,2,100.0
7.59,65.48,92.38,4.15,6,90.16
6.39,90.69,83.93,6.05,7,96.48
2.4,84.24,88.39,6.28,9,84.32
2.4,58.13,79.53,6.39,5,64.22
1.52,95.55,81.54,7.48,9,79.37
8.8,91.13,90.95,7.2,8,100.0
6.41,97.49,54.98,7.65,5,94.02
7.37,86.29,69.37,8.59,8,100.0
1.19,80.67,53.27,8.88,3,58.4
9.73,70.91,99.26,8.31,7,100.0
8.49,96.64,96.64,9.73,10,100.0
2.91,93.3,42.37,4.11,3,65.26
2.64,52.26,82.33,5.17,1,56.38
2.65,51.32,95.51,4.05,9,69.84
3.74,68.82,50.83,7.88,10,78.43
5.72,90.53,74.08,9.39,8,100.0
4.89,99.36,94.93,5.46,4,87.6
3.62,57.52,42.04,9.56,3,56.95
6.51,79.71,81.85,4.36,1,87.26
2.26,69.04,57.84,9.61,0,52.72
3.63,98.5,95.46,6.11,10,94.0
4.3,92.11,98.26,4.61,6,88.56
5.1,91.92,96.66,6.92,5,91.19
8.07,73.43,68.45,5.54,1,83.67
2.8,70.74,91.72,5.71,7,77.92
5.63,63.67,90.67,5.84,10,84.93
6.33,52.82,59.15,8.82,3,71.31
1.42,93.24,89.73,7.23,7,78.2
6.47,90.65,42.22,5.87,6,83.48
2.53,99.99,75.78,7.66,4,77.13
1.59,99.83,53.8,8.3,9,77.37
9.54,77.77,47.23,5.64,9,94.68
9.69,88.45,44.62,6.48,7,100.0
8.28,97.24,81.78,4.73,8,100.0
3.74,92.48,60.39,5.09,4,70.39
1.88,62.37,83.49,8.09,9,74.57
7.16,72.53,43.92,5.09,4,78.58
4.96,56.46,58.92,7.15,1,67.96
2.1,97.7,72.37,8.25,4,74.77
5.46,80.31,87.44,4.64,2,83.15
1.31,61.43,59.13,7.4,6,55.97
9.18,83.59,77.55,5.54,9,100.0
